ItemNumber,StockNow,ChangeQty,StockChangeDateTime,ChangeSource,ItemImageId
"PC135741","2","1","2016-07-18 16:14:53","DIRECT ADJUSTMENT BY Lauren","7878e736-3cf9-48c2-800e-c7323f215d19"
"PC139502","7","1","2016-07-18 16:13:00","DIRECT ADJUSTMENT BY Devan","3d3ff1a3-bcb5-4d15-9084-25fd8e6fcd95"
"PC138684","3","1","2016-07-18 16:12:18","DIRECT ADJUSTMENT BY Lauren","f1e48b3b-863a-4bb6-ac44-3e253318dd9e"
"PC119885","1","1","2016-07-18 16:10:50","DIRECT ADJUSTMENT",""
"PC134168","1","1","2016-07-18 16:10:43","DIRECT ADJUSTMENT BY Katrina","c9a826c7-b575-42e8-8905-f525e60d72d0"
"PC113531","3","1","2016-07-18 16:10:40","DIRECT ADJUSTMENT BY Lauren","facace07-41b9-45c7-8ec3-5583b996624f"
"PC135630","2","1","2016-07-18 16:10:24","DIRECT ADJUSTMENT BY Devan","823040ae-5748-4282-849f-d8b2a73845f8"
"PC107538","33","1","2016-07-18 16:09:26","DIRECT ADJUSTMENT BY Lauren","528157e4-51d6-4da3-9e71-63a9f0b0cb4b"
"PC115152","1","1","2016-07-18 16:07:59","DIRECT ADJUSTMENT BY Devan","1221280f-4487-4acb-9326-df60a519ed24"
"PC129327","1","1","2016-07-18 16:07:48","DIRECT ADJUSTMENT",""
"PC114022","1","1","2016-07-18 16:07:47","DIRECT ADJUSTMENT",""
"PC135579","8","1","2016-07-18 16:06:10","DIRECT ADJUSTMENT BY Lauren","769c57c5-8f5f-41dc-b379-ce704490aa89"
"PC106456","20","1","2016-07-18 16:04:39","DIRECT ADJUSTMENT BY Lauren","f259fdac-29d7-440e-8087-b6589404279c"
"PC106393","24","1","2016-07-18 16:03:20","DIRECT ADJUSTMENT BY Lauren","5bb23baf-d678-4db6-91fe-c06e627e4138"
"PC112266","50","1","2016-07-18 16:02:31","DIRECT ADJUSTMENT BY Donald","e96dcde0-3d5e-49ce-b4e2-73ddb7da9395"
"PC112266","50","1","2016-07-18 16:02:31","DIRECT ADJUSTMENT BY Donald","a1b7a742-012c-4a70-8b90-f8d2833be7be"
"PC107537","39","1","2016-07-18 16:01:35","DIRECT ADJUSTMENT BY Lauren","600ea773-d337-46c8-9592-71e07d85cd83"
"PC112266","49","1","2016-07-18 16:00:24","DIRECT ADJUSTMENT BY Donald","e96dcde0-3d5e-49ce-b4e2-73ddb7da9395"
"PC112266","49","1","2016-07-18 16:00:24","DIRECT ADJUSTMENT BY Donald","a1b7a742-012c-4a70-8b90-f8d2833be7be"
"PC106588","7","1","2016-07-18 15:58:53","DIRECT ADJUSTMENT BY Devan","ac001b8d-2225-4f3e-8ce2-475b7cc57bb0"
"PC112266","48","1","2016-07-18 15:58:53","DIRECT ADJUSTMENT BY Donald","e96dcde0-3d5e-49ce-b4e2-73ddb7da9395"
"PC112266","48","1","2016-07-18 15:58:53","DIRECT ADJUSTMENT BY Donald","a1b7a742-012c-4a70-8b90-f8d2833be7be"
"PC108318","1","1","2016-07-18 15:58:20","DIRECT ADJUSTMENT",""
"PC136294","9","1","2016-07-18 15:57:20","DIRECT ADJUSTMENT BY Devan","af51dbd1-3890-4e2f-a1a1-e8b52cc87730"
"PC112266","47","1","2016-07-18 15:56:59","DIRECT ADJUSTMENT BY Donald","e96dcde0-3d5e-49ce-b4e2-73ddb7da9395"
"PC112266","47","1","2016-07-18 15:56:59","DIRECT ADJUSTMENT BY Donald","a1b7a742-012c-4a70-8b90-f8d2833be7be"
"PC300980","1","1","2016-07-18 15:56:19","DIRECT ADJUSTMENT BY Katrina",""
"PC108027","3","1","2016-07-18 15:55:47","DIRECT ADJUSTMENT BY Devan","1f0e1143-b4c9-417d-8ca3-3806a0c39aa7"
"PC122107","3","1","2016-07-18 15:55:41","DIRECT ADJUSTMENT BY Lauren","830d3715-48b2-47e7-afc0-18e54127b8dd"
"PC127071","1","1","2016-07-18 15:54:18","DIRECT ADJUSTMENT BY Devan","05d4f634-6f16-45a7-b0f3-95927b4cf7da"
"PC109714","16","1","2016-07-18 15:53:29","DIRECT ADJUSTMENT BY Donald","5b6998fb-4b5d-4604-abc1-bc4766ddd844"
"PC106428","1","1","2016-07-18 15:51:01","DIRECT ADJUSTMENT BY Devan","c3e83771-e865-42a3-9dc7-b30eda7465f3"
"PC111394","5","1","2016-07-18 15:50:20","DIRECT ADJUSTMENT BY Donald",""
"PC106489","2","1","2016-07-18 15:49:47","DIRECT ADJUSTMENT BY Devan","19b0e2de-cf35-4062-879c-885c494e5769"
"PC111394","4","1","2016-07-18 15:48:35","DIRECT ADJUSTMENT BY Donald",""
"PC111394","3","1","2016-07-18 15:30:31","DIRECT ADJUSTMENT BY Donald",""
"PC111394","2","1","2016-07-18 15:27:53","DIRECT ADJUSTMENT BY Donald",""
"PC111394","1","1","2016-07-18 15:25:18","DIRECT ADJUSTMENT",""
"PC107045","3","1","2016-07-18 15:23:22","DIRECT ADJUSTMENT BY Devan","9442e0c9-11c1-4873-af7b-b83429cf6962"
"PC109856","1","1","2016-07-18 15:22:46","DIRECT ADJUSTMENT BY Donald","98351edf-a5da-486f-a6ea-4e295f1f4265"
"PC109856","1","1","2016-07-18 15:22:46","DIRECT ADJUSTMENT BY Donald","a71ec852-b91e-4a04-8cf8-c87b047e4402"
"PC108478","5","1","2016-07-18 15:20:26","DIRECT ADJUSTMENT BY Donald","aa014869-8332-40e9-992b-fd9f8e181ee8"
"PC300979","1","1","2016-07-18 15:20:03","DIRECT ADJUSTMENT BY Katrina",""
"PC109714","15","1","2016-07-18 15:19:00","DIRECT ADJUSTMENT BY Lauren","5b6998fb-4b5d-4604-abc1-bc4766ddd844"
"PC111294","3","1","2016-07-18 15:18:22","DIRECT ADJUSTMENT BY Donald","96b18272-8459-4bb1-806f-b3204c6660e2"
"PC300978","1","1","2016-07-18 15:16:34","DIRECT ADJUSTMENT BY Katrina",""
"PC136533","2","1","2016-07-18 15:15:38","DIRECT ADJUSTMENT BY Donald","4ce76a35-1bf9-4a6a-b714-486b92c08090"
"PC136533","2","1","2016-07-18 15:15:38","DIRECT ADJUSTMENT BY Donald","c6973a6b-db87-4d78-b87d-aec9aa1ad9cd"
"PC135933","1","1","2016-07-18 15:14:21","DIRECT ADJUSTMENT BY Devan","68a3570c-d07a-4bbe-8d25-c67094662a75"
"PC138169","1","1","2016-07-18 15:12:35","DIRECT ADJUSTMENT",""
"PC400151","5","1","2016-07-18 15:12:04","DIRECT ADJUSTMENT BY Donald",""
"PC135219","3","1","2016-07-18 15:11:26","DIRECT ADJUSTMENT BY Devan","7ac61447-71f3-477a-aa38-d9f76b308df6"
"PC117545","9","1","2016-07-18 15:10:01","DIRECT ADJUSTMENT BY Donald","196f4ff9-3a59-49cf-9995-a89f66e6b057"
"PC120620","1","1","2016-07-18 15:09:58","DIRECT ADJUSTMENT",""
"PC107046","4","1","2016-07-18 15:08:27","DIRECT ADJUSTMENT BY Devan","3fbf9d28-f45e-4497-a836-1a7fddf43ffb"
"PC117536","1","1","2016-07-18 15:06:48","DIRECT ADJUSTMENT BY Donald","7361b3f1-624d-4f0b-a7d6-8154f7087a6d"
"PC133521","2","1","2016-07-18 15:03:00","DIRECT ADJUSTMENT BY Lauren","08024351-53be-402a-ac4c-b82590e6ff53"
"PC133521","2","1","2016-07-18 15:03:00","DIRECT ADJUSTMENT BY Lauren","5cf25d1c-7b65-46d0-a2a0-fdc4efc810c2"
"PC128433","1","1","2016-07-18 15:03:00","DIRECT ADJUSTMENT BY Donald","c1bfa2fd-74fb-4d63-a01f-e469744e5f0d"
"PC129756","2","1","2016-07-18 15:01:03","DIRECT ADJUSTMENT BY Devan","5b1383cc-f52e-48ca-b115-0715b0fee9ef"
"PC129756","2","1","2016-07-18 15:01:03","DIRECT ADJUSTMENT BY Devan","8503f0b1-8979-422d-9a41-52eb1f8ead69"
"PC107893","3","1","2016-07-18 14:59:50","DIRECT ADJUSTMENT BY Donald","9681d18c-4a07-4097-b7e0-f51556403bdb"
"PC122322","2","1","2016-07-18 14:59:28","DIRECT ADJUSTMENT BY Lauren","ce054ab1-9c13-4baa-8411-0b5c2e78fccb"
"PC122322","2","1","2016-07-18 14:59:28","DIRECT ADJUSTMENT BY Lauren","62e44a5d-d57c-4e2a-836f-36dcbfc87755"
"PC135739","2","1","2016-07-18 14:59:01","DIRECT ADJUSTMENT BY Devan","3857d697-5b37-475a-9078-d35c00afe351"
"PC135739","2","1","2016-07-18 14:59:01","DIRECT ADJUSTMENT BY Devan","80b7fc5c-d22a-411c-81ec-f3fe0749969d"
"PC135194","2","1","2016-07-18 14:57:43","DIRECT ADJUSTMENT BY Devan","78d525c2-7b1a-4aa7-afe4-7ab94d6de25e"
"PC135194","2","1","2016-07-18 14:57:43","DIRECT ADJUSTMENT BY Devan","03f442df-0213-4f55-91dc-b498635b00ab"
"PC107893","2","1","2016-07-18 14:56:58","DIRECT ADJUSTMENT BY Donald","9681d18c-4a07-4097-b7e0-f51556403bdb"
"PC107892","2","1","2016-07-18 14:55:11","DIRECT ADJUSTMENT BY Donald","e7030586-1b3e-4d07-9ed3-bcdfb0da268e"
"PC125572","2","1","2016-07-18 14:54:13","DIRECT ADJUSTMENT BY Devan","b3f6ef3b-2fa9-49a3-a823-166d19b3762d"
"PC125572","2","1","2016-07-18 14:54:13","DIRECT ADJUSTMENT BY Devan","0cce813e-5361-4a58-ac66-d7a295fecc1f"
"PC112424","1","1","2016-07-18 14:52:45","DIRECT ADJUSTMENT",""
"PC102790","6","1","2016-07-18 14:51:42","DIRECT ADJUSTMENT BY Donald","714e0755-6a6d-4266-b896-896ab835e5b9"
"PC107004","2","1","2016-07-18 14:48:38","DIRECT ADJUSTMENT BY Devan","134a0140-2e65-485d-b669-d87bcc1b3138"
"PC107004","2","1","2016-07-18 14:48:38","DIRECT ADJUSTMENT BY Devan","625fba8a-c083-40fb-bca0-e98fae32b0ab"
"PC107003","2","1","2016-07-18 14:48:09","DIRECT ADJUSTMENT BY Devan","000cd78a-e73d-441f-b885-1e0fbff3f82b"
"PC107003","2","1","2016-07-18 14:48:09","DIRECT ADJUSTMENT BY Devan","3e2fcee2-0fc7-46b3-9b54-a445520dadd1"
"PC400151","4","1","2016-07-18 14:47:44","DIRECT ADJUSTMENT BY Donald",""
"PC117472","2","1","2016-07-18 14:44:34","DIRECT ADJUSTMENT BY Devan","2f18f551-fb9e-4095-bfe4-6c0096b869d7"
"PC117472","2","1","2016-07-18 14:44:34","DIRECT ADJUSTMENT BY Devan","48e79540-507c-42a4-bfee-db8ff1795066"
"PC102772","27","1","2016-07-18 14:44:11","DIRECT ADJUSTMENT BY Donald","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC109144","1","1","2016-07-18 14:42:27","DIRECT ADJUSTMENT BY Devan","da323306-9390-42b6-8ca3-048cf1afbea4"
"PC103018","1","1","2016-07-18 14:41:41","DIRECT ADJUSTMENT",""
"PC107047","5","1","2016-07-18 14:40:47","DIRECT ADJUSTMENT BY Devan","d66356f1-e545-4c3b-b9ea-f680637f4476"
"PC135868","8","1","2016-07-18 14:39:04","DIRECT ADJUSTMENT BY Devan","58257427-cf8d-4f46-96e2-3034c6ad61a0"
"PC400151","3","1","2016-07-18 14:38:32","DIRECT ADJUSTMENT BY Donald",""
"PC135196","1","1","2016-07-18 14:37:42","DIRECT ADJUSTMENT BY Lauren","216b29a6-1732-4c3e-a0ad-83937e765bc9"
"PC135196","1","1","2016-07-18 14:37:42","DIRECT ADJUSTMENT BY Lauren","f9a484f8-b3c0-4b0a-9b34-9b31c63d37ad"
"PC400152","1","1","2016-07-18 14:34:23","DIRECT ADJUSTMENT BY Donald",""
"PC100967","1","1","2016-07-18 14:34:21","DIRECT ADJUSTMENT",""
"PC107417","8","1","2016-07-18 14:31:03","DIRECT ADJUSTMENT BY Devan","2f8a9f9c-42a5-4d96-a095-f8532eb899e0"
"PC107418","6","1","2016-07-18 14:30:28","DIRECT ADJUSTMENT BY Devan","68add0c9-bf7e-4457-851c-75332792426d"
"PC102781","1","1","2016-07-18 14:28:55","DIRECT ADJUSTMENT",""
"PC400151","2","1","2016-07-18 14:28:49","DIRECT ADJUSTMENT BY Donald",""
"PC101371","6","1","2016-07-18 14:27:14","DIRECT ADJUSTMENT BY Lauren","143e296d-18cc-4afd-b4ee-70c951e452cf"
"PC109386","6","1","2016-07-18 14:26:48","DIRECT ADJUSTMENT BY Devan","f8747178-63d7-416c-88df-07d17794822e"
"PC101372","5","1","2016-07-18 14:26:29","DIRECT ADJUSTMENT BY Lauren","eb224949-ba23-44c3-9c34-3adc017e4376"
"PC400151","1","1","2016-07-18 14:24:50","DIRECT ADJUSTMENT BY Donald",""
"PC106375","14","1","2016-07-18 14:24:31","DIRECT ADJUSTMENT BY Lauren","37b3321c-ad9c-4eb1-9bb8-44ab56b79b88"
"PC106372","15","1","2016-07-18 14:23:14","DIRECT ADJUSTMENT BY Lauren","d3c2ff2f-185d-49e0-853b-5a37311fd6dd"
"PC106531","16","1","2016-07-18 14:22:18","DIRECT ADJUSTMENT BY Lauren","68d2f61a-257f-4c6d-8def-2453b58ca5d9"
"PC103071","1","1","2016-07-18 14:18:16","DIRECT ADJUSTMENT",""
"PC103070","2","1","2016-07-18 14:17:16","DIRECT ADJUSTMENT BY Lauren",""
"PC128097","7","1","2016-07-18 14:15:35","DIRECT ADJUSTMENT BY Donald","792c3cbe-fe17-4341-866e-ed72bd3e7a0a"
"PC136324","18","1","2016-07-18 14:14:04","DIRECT ADJUSTMENT BY Devan","8c3d1743-62fa-4764-af97-1f777e14127f"
"PC107489","15","1","2016-07-18 14:13:09","DIRECT ADJUSTMENT BY Devan","3a4c9a12-d6af-4114-8f44-cf258290a075"
"PC107490","16","1","2016-07-18 14:12:38","DIRECT ADJUSTMENT BY Devan","7775b660-7ae1-4504-aeb6-44b884365163"
"PC128507","3","1","2016-07-18 14:11:04","DIRECT ADJUSTMENT BY Donald","d1eafc2e-bcd1-4423-83cd-a3eefbaf9ee9"
"PC128507","3","1","2016-07-18 14:11:04","DIRECT ADJUSTMENT BY Donald","70c51461-e956-4799-93d2-d9e268dc1854"
"PC122299","31","1","2016-07-18 14:07:04","DIRECT ADJUSTMENT BY Devan","c679a88a-09fd-43f0-95a1-26bf67a697e2"
"PC122299","31","1","2016-07-18 14:07:04","DIRECT ADJUSTMENT BY Devan","7a1b5f68-d8c0-491c-b409-680176de5ab5"
"PC111026","1","1","2016-07-18 14:04:18","DIRECT ADJUSTMENT",""
"PC125612","3","1","2016-07-18 14:04:16","DIRECT ADJUSTMENT BY Donald","09737651-eace-4866-bd64-9e847d9b4cee"
"PC125612","3","1","2016-07-18 14:04:16","DIRECT ADJUSTMENT BY Donald","cd1a7b1c-5168-44a9-b181-f51744fac441"
"PC135544","2","1","2016-07-18 14:00:38","DIRECT ADJUSTMENT BY Donald",""
"PC900092","15","1","2016-07-18 14:00:00","DIRECT ADJUSTMENT BY Devan","e07e6ef0-f97d-4d56-b130-2b58ff387a15"
"PC135544","1","1","2016-07-18 13:57:07","DIRECT ADJUSTMENT",""
"PC125770","4","1","2016-07-18 13:57:06","DIRECT ADJUSTMENT BY Devan","9edab6d3-dcf8-4607-8741-291b1f625ad4"
"PC133398","16","1","2016-07-18 13:54:04","DIRECT ADJUSTMENT BY Devan","04f1b04a-7d2f-4d3a-be3f-8f935878cc29"
"PC103022","6","1","2016-07-18 13:52:00","DIRECT ADJUSTMENT BY Donald","8b940b98-b0e2-4e17-bce9-39083f502d1f"
"PC117543","11","1","2016-07-18 13:50:58","DIRECT ADJUSTMENT BY Devan","6f14aae8-a1fd-489e-92b5-76118efbf4d4"
"PC107537","38","1","2016-07-18 13:45:48","DIRECT ADJUSTMENT BY Donald","600ea773-d337-46c8-9592-71e07d85cd83"
"PC118212","1","1","2016-07-18 13:45:31","DIRECT ADJUSTMENT",""
"PC123569","1","1","2016-07-18 13:41:29","DIRECT ADJUSTMENT",""
"PC122893","7","1","2016-07-18 13:33:14","DIRECT ADJUSTMENT BY Donald","741718f9-9929-4946-8b6a-73928de3105e"
"PC122893","7","1","2016-07-18 13:33:14","DIRECT ADJUSTMENT BY Donald","c7cb957b-e6c0-421a-87f7-b6d21a3452a3"
"PC138706","6","1","2016-07-18 13:30:03","DIRECT ADJUSTMENT BY Donald","6e7d3439-820d-4645-af57-a9a5c8ea67b3"
"339784","3","1","2016-07-15 22:01:32","DIRECT ADJUSTMENT BY Admin","c0052be3-7194-439e-b9cc-539c13614849"
"PC138706","5","1","2016-07-15 21:55:30","DIRECT ADJUSTMENT BY Donald","6e7d3439-820d-4645-af57-a9a5c8ea67b3"
"PC107541","45","1","2016-07-15 21:51:07","DIRECT ADJUSTMENT BY Donald","0a278808-68d7-4780-bcad-aafa464076bd"
"PC107541","44","1","2016-07-15 21:48:18","DIRECT ADJUSTMENT BY Donald","0a278808-68d7-4780-bcad-aafa464076bd"
"PC107541","43","1","2016-07-15 21:41:49","DIRECT ADJUSTMENT BY Donald","0a278808-68d7-4780-bcad-aafa464076bd"
"PC107541","42","1","2016-07-15 21:38:51","DIRECT ADJUSTMENT BY Donald","0a278808-68d7-4780-bcad-aafa464076bd"
"PC107675","16","1","2016-07-15 21:35:59","DIRECT ADJUSTMENT BY Donald","647dde0b-7489-4124-959a-2d767b55e6ca"
"PC107676","17","1","2016-07-15 21:32:20","DIRECT ADJUSTMENT BY Donald","0388c2e0-157d-4947-828a-cb863821d062"
"PC107674","15","1","2016-07-15 21:27:56","DIRECT ADJUSTMENT BY Donald","4b3d8355-adbe-4c7d-8058-39c2ba025422"
"PC136268","7","1","2016-07-15 21:19:57","DIRECT ADJUSTMENT BY Donald","63dcdf41-20d9-460e-b2a0-086e00fd89d7"
"PC103040","18","1","2016-07-15 21:17:20","DIRECT ADJUSTMENT BY Donald","e04ac934-6b75-41c9-8bc3-0a1fe97cfe0a"
"PC114566","3","1","2016-07-15 21:14:18","DIRECT ADJUSTMENT BY Donald",""
"PC136803","2","1","2016-07-15 21:09:48","DIRECT ADJUSTMENT BY Donald","439813e8-d30b-42cc-a455-5d4f1e5e4b28"
"PC113582","7","1","2016-07-15 21:09:17","DIRECT ADJUSTMENT BY Devan","525d8a72-e205-4d5b-8645-9e0e5db96c96"
"PC102282","4","1","2016-07-15 21:06:58","DIRECT ADJUSTMENT BY Donald","42db1e54-5a2f-4f65-a3e5-f2073743fe5b"
"PC107540","36","1","2016-07-15 20:52:58","DIRECT ADJUSTMENT BY Donald","06ced303-52ec-44ca-bd91-1a7e11718364"
"PC107541","41","1","2016-07-15 20:48:55","DIRECT ADJUSTMENT BY Donald","0a278808-68d7-4780-bcad-aafa464076bd"
"PC138706","4","1","2016-07-15 20:45:49","DIRECT ADJUSTMENT BY Donald","6e7d3439-820d-4645-af57-a9a5c8ea67b3"
"PC138706","3","1","2016-07-15 20:42:39","DIRECT ADJUSTMENT BY Donald","6e7d3439-820d-4645-af57-a9a5c8ea67b3"
"5085","10","1","2016-07-15 20:40:30","DIRECT ADJUSTMENT BY Donald","9d1b6024-17c9-4367-aed3-a3537cd16be4"
"PC107540","35","1","2016-07-15 20:37:00","DIRECT ADJUSTMENT BY Donald","06ced303-52ec-44ca-bd91-1a7e11718364"
"PC400150","1","1","2016-07-15 20:33:27","DIRECT ADJUSTMENT BY Donald",""
"PC107540","34","1","2016-07-15 20:11:59","DIRECT ADJUSTMENT BY Donald","06ced303-52ec-44ca-bd91-1a7e11718364"
"PC102075","6","1","2016-07-15 20:08:13","DIRECT ADJUSTMENT BY Donald","12cd6d76-2c00-4b91-92e5-ea6a8efb8461"
"PC133687","1","1","2016-07-15 20:04:26","DIRECT ADJUSTMENT BY Donald","623df5cf-3f3a-4662-b5a3-c74a06e6e5b0"
"PC129485","2","1","2016-07-15 19:59:11","DIRECT ADJUSTMENT BY Donald","136ee096-39fa-4c52-bc02-399e0f793cd6"
"PC120986","1","1","2016-07-15 19:58:03","DIRECT ADJUSTMENT BY Donald","7aa5f54e-b0bb-4e81-b82b-55f1017cf0ba"
"PC120986","1","1","2016-07-15 19:58:03","DIRECT ADJUSTMENT BY Donald","4769a7be-ffcb-47db-a716-d7bae89af6fd"
"PC109309","4","1","2016-07-15 19:57:06","DIRECT ADJUSTMENT BY Donald","4cc9e1fe-6a3c-4fa4-84a8-0d5f056abe05"
"PC102088","1","1","2016-07-15 19:55:36","DIRECT ADJUSTMENT BY Donald","a83025e8-91f7-4f03-b94e-03f4c6a142e0"
"PC102088","1","1","2016-07-15 19:55:36","DIRECT ADJUSTMENT BY Donald","f63f4b1e-c44a-4d8b-b9e6-b680358d1553"
"PC128074","2","1","2016-07-15 19:53:13","DIRECT ADJUSTMENT BY Donald","015bbb2e-b777-46e7-a2c8-77f58424e17d"
"PC107265","3","1","2016-07-15 19:51:16","DIRECT ADJUSTMENT BY Donald","8c0ecb0e-c507-4026-9b5e-c19f961a9ccc"
"PC133498","2","1","2016-07-15 19:50:09","DIRECT ADJUSTMENT BY Donald","8fa4a205-8dc9-4281-9e81-7b09682523e5"
"PC900330","7","1","2016-07-15 19:48:51","DIRECT ADJUSTMENT BY Donald","cc544955-0527-4955-a888-f914ebb954dc"
"PC135931","1","1","2016-07-15 19:29:57","Customer Return for order 200543","27abd8ff-22d7-4689-90ef-5eba6566f20d"
"PC130365","11","1","2016-07-15 19:29:12","DIRECT ADJUSTMENT BY Donald","90aafb1c-c308-407e-9dc5-1a63cb4ecd60"
"PC126293","1","1","2016-07-15 19:28:29","DIRECT ADJUSTMENT BY Donald","ff4bc02a-ccb9-418b-b8a5-66b492ba111b"
"PC126293","1","1","2016-07-15 19:28:29","DIRECT ADJUSTMENT BY Donald","d11ebda3-813d-4535-a49a-f4be5249982e"
"PC130620","1","1","2016-07-15 19:27:55","Customer Return for order 200503","665c0d79-9db2-4cda-9104-372962c53dd5"
"PC122209","1","1","2016-07-15 19:27:13","DIRECT ADJUSTMENT BY Donald","34716a53-6110-450c-8f06-ee171d64801c"
"PC130106","1","1","2016-07-15 19:25:46","Customer Return for order 200665","c1031c75-57f9-49ee-adcb-fe38d3b86297"
"PC102772","26","1","2016-07-15 19:19:59","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC102772","25","1","2016-07-15 19:19:45","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC102772","24","1","2016-07-15 19:19:30","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC102772","23","1","2016-07-15 19:19:04","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC102772","22","1","2016-07-15 19:18:49","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC102772","21","1","2016-07-15 19:18:36","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC122659","6","1","2016-07-15 19:13:27","Customer Return for order 200089","b407bbc7-0a0b-4513-a2e3-764377d8c4e1"
"PC122659","6","1","2016-07-15 19:13:27","Customer Return for order 200089","437338ae-b17c-4388-8bd2-f9cde63a480e"
"PC131439","1","1","2016-07-15 19:12:12","DIRECT ADJUSTMENT BY Donald","07a5e273-bf9b-4a61-91c0-2b0b8d03c3c1"
"PC131439","1","1","2016-07-15 19:12:12","DIRECT ADJUSTMENT BY Donald","2d40221e-0b7c-44ad-8a54-9de1470f0e11"
"PC131439","1","1","2016-07-15 19:12:12","DIRECT ADJUSTMENT BY Donald","2af6a853-6a69-4cba-b916-dc62ea0c501b"
"PC131439","1","1","2016-07-15 19:12:12","DIRECT ADJUSTMENT BY Donald","f62109cd-41f7-418b-a552-dd7c6cc82c93"
"PC108882","2","1","2016-07-15 19:11:13","DIRECT ADJUSTMENT BY Donald","50d53cd1-466d-4e71-befb-753dba64232b"
"PC114903","1","1","2016-07-15 19:10:17","DIRECT ADJUSTMENT BY Donald","b18fed31-1f51-41a5-97db-0cb91f6a460e"
"PC114903","1","1","2016-07-15 19:10:17","DIRECT ADJUSTMENT BY Donald","a73e56ee-38bb-43ae-b42f-e8946bc8239e"
"PC131425","10","1","2016-07-15 19:10:09","Customer Return for order 200011","38cf7f93-eace-4d42-accb-8f58b8987e6a"
"PC107224","10","1","2016-07-15 19:09:37","DIRECT ADJUSTMENT BY Donald","984f6dd4-9e62-452c-80a9-8bc18ebe10e2"
"PC125345","2","1","2016-07-15 19:08:24","Customer Return for order 200914","56bc6044-059d-4a1f-968f-5c920319bcc6"
"PC116589","1","1","2016-07-15 19:05:58","Customer Return for order 200424","dba52827-ddcf-4eac-a556-44ddf544e7a8"
"PC116589","1","1","2016-07-15 19:05:58","Customer Return for order 200424","26b02269-27ee-40bc-a9a0-db922bf8e04c"
"PC102881","10","1","2016-07-15 19:05:41","DIRECT ADJUSTMENT BY Donald","ee3b8bac-b25c-4452-a126-261abbbd4d11"
"PC102881","10","1","2016-07-15 19:05:41","DIRECT ADJUSTMENT BY Donald","52c0b43b-a42b-460b-bbe9-fc81b321c27c"
"PC114042","1","1","2016-07-15 19:04:19","DIRECT ADJUSTMENT",""
"PC900450","2","1","2016-07-15 19:04:03","Customer Return for order 200033","644ef7c7-635f-4964-a2b6-87fb50d10b7d"
"PC900450","2","1","2016-07-15 19:04:03","Customer Return for order 200033","007a2966-912b-45ec-83b1-8d7ca25b9357"
"PC900013","1","1","2016-07-15 19:03:00","Customer Return for order 200360","5b8421e1-f40f-4647-9fa4-086a2a317f01"
"PC900013","1","1","2016-07-15 19:03:00","Customer Return for order 200360","3f5b2b37-2061-4803-afce-cee65b02b168"
"PC135630","1","1","2016-07-15 19:02:22","DIRECT ADJUSTMENT BY Devan","823040ae-5748-4282-849f-d8b2a73845f8"
"PC111301","2","1","2016-07-15 19:01:58","DIRECT ADJUSTMENT BY Donald","afafb555-5981-499c-97bf-1342fd5d940d"
"PC111301","2","1","2016-07-15 19:01:58","DIRECT ADJUSTMENT BY Donald","6511b8d7-c262-470e-8cc0-311c6aeccf60"
"PC109133","76","1","2016-07-15 18:59:13","DIRECT ADJUSTMENT BY Donald","3ab49892-32c3-4c96-98c6-5a21894b38af"
"PC138672","3","1","2016-07-15 18:56:06","DIRECT ADJUSTMENT BY Donald","b424208d-89f6-42c1-8c4f-c50404dd3cfb"
"PC102772","20","1","2016-07-15 18:54:43","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC106393","23","1","2016-07-15 18:51:49","DIRECT ADJUSTMENT BY Donald","5bb23baf-d678-4db6-91fe-c06e627e4138"
"PC102772","19","1","2016-07-15 18:47:52","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC102772","18","1","2016-07-15 18:47:17","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC106456","19","1","2016-07-15 18:46:19","DIRECT ADJUSTMENT BY Donald","f259fdac-29d7-440e-8087-b6589404279c"
"PC102772","17","1","2016-07-15 18:44:11","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC110269","18","1","2016-07-15 18:43:15","DIRECT ADJUSTMENT BY Donald","64c23032-6e96-4324-84cb-86bf162ae5ca"
"PC102772","16","1","2016-07-15 18:42:39","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
"PC102772","15","1","2016-07-15 18:40:55","DIRECT ADJUSTMENT BY Devan","b0b7dece-cf84-44b8-af1c-5bfcbbf6ccee"
